@relation 'final_predict-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT5)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT6)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT7)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT8)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT9)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-6,8'

@attribute actor_factor numeric
@attribute director_factor numeric
@attribute genre {Drama,Comedy,Action,Adventure,Animation,Horror,Documentary,Western,Thriller,Fantasy,History,Mystery,Romance,'Science Fiction',Family,War,Crime,Music,Foreign,'TV Movie'}
@attribute vote_cn numeric

@data
16.8,1,Drama,75
17.6,1,Drama,211
12,1,Drama,4400
22.2,1,Drama,139
10,1,Drama,13774
18.4,5,Thriller,9512
26,30,Drama,25067
16.2,20,Drama,1553
1,1,Documentary,398
24.2,7.0952,Drama,84447
6.6,1,Adventure,1981
22.4,20,Adventure,40620
2.8,1,Fantasy,5794
28,30,Adventure,33431
15.2,3,Drama,5585
20,8,Comedy,33509
12.8,1,Fantasy,6515
18.4,8,Comedy,8757
24.2,3,Drama,78883
22.4,1,Drama,63061
9.2,1,Drama,2058
9.2,20,Comedy,10609
17.8,20,Comedy,442
17,20,Comedy,1772
15,20,Comedy,4914
10.75,1,Fantasy,19013
20.4,3,Adventure,18063
24,20,Adventure,15480
24,1,Adventure,2496
18.4,10,Comedy,29
14.4,1,Adventure,495
12,1,Fantasy,698
8.4,3,Drama,0
10.2,1,Action,30838
10.2,1,Action,21253
10.2,1,Action,16215
9.8,30,Comedy,147
18.6,1,Drama,9188
18.2,5,Drama,1326
8.6,30,Documentary,5013
9,5,Comedy,138
1,10,Drama,429
10.5,3,Adventure,13250
5,3,Adventure,2082
5,1,Drama,76
5.4,1,Adventure,25
3.4,1,Drama,0
8.2,1,Action,41
9.2,3,Adventure,39994
22,1,Adventure,12054
14.2,3,Adventure,5064
24,5,Drama,131628
24,8,Drama,111319
18,8,Drama,127899
3.8,3,Drama,2423
10.4,1,Comedy,2090
16.4,3,Fantasy,569
36,30,Drama,37979
28,5,Drama,868
