@relation 'final_predict-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT5)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT6)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT7)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT8)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT9)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-7'

@attribute actor_factor numeric
@attribute director_factor numeric
@attribute genre {Drama,Comedy,Action,Adventure,Animation,Horror,Documentary,Western,Thriller,Fantasy,History,Mystery,Romance,'Science Fiction',Family,War,Crime,Music,Foreign,'TV Movie'}
@attribute box_office numeric

@data
3.2,1,Fantasy,6000000
3.4,1,Adventure,16519460
3.6,1,Comedy,19294144
23,3,War,96976270
12.6,8,Fantasy,351583407
18,20,Action,172989651
10.8,20,Fantasy,329803958
16.2,30,Drama,481840909
16.8,3,Drama,227799884
20,1,Drama,34670720
11.6,10,Thriller,79567667
18.2,20,Adventure,261317921
16.2,20,Animation,373554033
22,20,Animation,497366869
4,8,Comedy,154864401
8.8,1,Action,38122105
22.6,20,Drama,116766556
18,1,Drama,116300000
1,20,Drama,9879971
24,30,Adventure,362211740
7,1,Adventure,33395426
3.8,8,Comedy,7200000
10.8,30,Drama,146292009
8.6,1,Drama,28350000
6,1,Adventure,600000
18.6,30,Adventure,300854823
23.6,3,Drama,243240178
12.8,20,Drama,7897645
5.75,8,Drama,23650000
8.8,1,Fantasy,341631208
3.6,1,Comedy,59468275
14.4,1,Drama,70600000
1.6,2,Fantasy,13760640
1,3,Drama,16000
1,3,Drama,170215
2.75,3,Drama,3100000
4.8,30,Drama,19181
6.8,2,Adventure,1738611
12.4,1,Drama,16217773
7.6,1,Drama,111858363
17,3,Drama,124305181
5.75,30,Comedy,11000000
9.8,1,Drama,42300873
16.2,1,Comedy,39321715
22,12.5,Adventure,461983149
14.2,20,Drama,108539911
1,8,Horror,55000000
12,30,Fantasy,102356381
5,3,Drama,37295445
18,1,Comedy,90683916
5,20,Fantasy,153083102
5.2,20,Fantasy,41482207
12.8,20,Action,379014294
1.25,1,Drama,460226
9.4,30,Drama,9440272
10.2,1,Comedy,10878107
10.8,1,Western,15000000
18.2,8,Adventure,120207127
18.2,8,Adventure,227853986
21.6,8,Adventure,321731527
24,8,Adventure,285444603
15,1,Adventure,69995385
4.2,5,Horror,70000000
24,5,Drama,187436818
16,20,Adventure,660940780
15.2,5,Comedy,201957688
17.6,17.5,Animation,532680671
23.6,3,Adventure,457696359
24,3,Adventure,546388105
24,30,Adventure,397850012
12.6,20,Comedy,38119483
5.2,30,Adventure,2500000
3.6,20,Thriller,1000000
13.6,1,Adventure,4905000
8.6,30,Drama,60000000
14.6,20,Drama,792
7.2,3,Thriller,96105910
9.6,1,Action,35976000
2.8,30,Fantasy,7000000
12.75,1,Drama,51718367
9,1,Drama,7600000
7.4,1,Drama,3251794
6.25,20,Adventure,1103757
2.4,5,Drama,2500000
14.2,30,Drama,20117339
10.6,20,Fantasy,3049135
18.2,10,Drama,140081992
6.6,8,Action,41158757
5.6,3,Drama,19910002
6.4,1,Drama,41400000
16.2,3,Action,83531958
10.2,1,Thriller,18564088
12.8,5,Horror,19629760
9.8,5,Thriller,596349
5,1,Drama,263404
13.6,5,Action,50244700
6.6,20,Drama,22889018
8,1,Drama,4291965
34,30,Drama,109676311
26,30,Drama,154937680
5.75,1,Drama,2500000
24.2,20,Drama,135330182
21.6,1,Drama,23237911
11,40,Drama,155721132
30,40,Drama,59908565
18.2,20,Drama,82169884
20.2,1,Drama,16803753
15.6,1,Fantasy,228738393
3.2,30,Adventure,68673228
28,1,Drama,8974829
8.2,1,Drama,88489643
14,1,Comedy,69485490
23,3,Drama,49469904
20,20,Fantasy,53653224
15.6,1,Adventure,137587063
24.2,20,Drama,65569869
8.8,1,Animation,169332978
9,1,Comedy,229736344
18.4,30,Adventure,422610419
30,20,Thriller,32017803
23,1,Adventure,95608995
1,1,Drama,585604
9.8,20,Comedy,251212670
18,1,Drama,34266564
14.6,1,Drama,56298474
6.6,1,Drama,2628241
14.4,20,Drama,44909486
16.6,5,Drama,117235147
16.6,40,Drama,200182160
14.8,1,Adventure,125212904
16.4,1,Adventure,300400432
14.4,1,Adventure,189015611
16.6,40,Drama,270000000
14.2,20,Drama,170877916
18.6,40,Drama,300473716
14.8,5,Drama,119946358
2.8,1,Drama,1615018
7.6,3,Drama,2777280
21.4,8,Adventure,15304890
24,20,Comedy,77745568
10.4,20,Drama,33616692
18.6,5,Drama,307077295
15.6,1,Adventure,124033791
6.8,20,Adventure,18517322
11.8,1,Drama,1277401
11,5,Drama,1499795
10.6,1,Drama,742898
10.2,20,Fantasy,83258226
30,30,Drama,289847354
5.2,20,Fantasy,132180323
26,20,Action,98185582
28,3,Drama,13060843
7.2,30,Documentary,35564473
2.8,20,Fantasy,6459020
1,3,Drama,1162014
17.6,1,Drama,14821658
14.4,1,Drama,5549200
16,10,Drama,10409377
19.6,30,Adventure,391081192
8.4,20,Drama,2247465
18,20,Fantasy,99318987
26,1,Fantasy,86915017
12.4,20,Adventure,7191399
16.4,1,Action,212000000
28,20,Adventure,211643158
1,1,Drama,1193062
9.4,1,Adventure,78000000
4.8,10,Adventure,201965915
6.2,3,Adventure,42
24,1,Drama,48027970
12.2,1,Action,30822861
14.6,8,Action,143049560
20.6,5,Drama,217764291
24,20,Adventure,45361000
10.6,3,Comedy,12827813
5.4,8,Drama,3500000
14.2,1,Drama,2455831
16.2,10,Drama,1919197
12,1,Horror,32222567
20,1,Drama,61489265
12.6,20,Drama,126297830
12.4,1,Drama,3897799
24.4,1,Horror,64238440
1,3,Documentary,30878
24,20,Action,383531464
28,3,Action,366101666
